"PrimaryKey","siteid","ProportionCriteriaMet"
"17071818584989502017-09-01","R012XY004ID",1
"17071911510871202017-09-01","R012XY004ID",1
"17071918245098272017-09-01","R012XY004ID",1
"17072008441432882017-09-01","R012XY004ID",1
"17072116443813392017-09-01","R012XY004ID",1
"1707241543442872017-09-01","R012XY004ID",1
"17072510225413782017-09-01","R012XY004ID",1
"1707251453295162017-09-01","R012XY004ID",1
"17072612513748102017-09-01","R012XY004ID",1
"17072709132048692017-09-01","R012XY046ID",1
"17072709260628632017-09-01","R012XY004ID",1
"17072713285523172017-09-01","R012XY004ID",1
"17072715451395102017-09-01","R012XY004ID",1
"17072811393641172017-09-01","R012XY004ID",1
"17072811583351452017-09-01","R012XY004ID",1
"17072812043966132017-09-01","R012XY004ID",1
"17072812070549822017-09-01","R012XY004ID",1
"17072812104627772017-09-01","R012XY004ID",1
"17072817370031542017-09-01","R012XY004ID",1
"17072818163016152017-09-01","R012XY004ID",1
"17072908075370022017-09-01","R012XY004ID",1
"1707290951053562017-09-01","R012XY004ID",1
"17072909514035152017-09-01","R012XY004ID",1
"17072911280373232017-09-01","R012XY004ID",1
"17072913210724502017-09-01","R012XY004ID",1
"17072916282355612017-09-01","R012XY004ID",1
"17073007392342862017-09-01","R012XY046ID",1
"17073008383679762017-09-01","R012XY004ID",1
"17073009064015522017-09-01","R012XY004ID",1
"17073009141029682017-09-01","R012XY046ID",1
"17073009482330612017-09-01","R012XY004ID",1
"17073010322395772017-09-01","R012XY004ID",1
"17073011244816922017-09-01","R012XY004ID",1
"17073014141014352017-09-01","R012XY046ID",1
"17073014581436902017-09-01","R012XY004ID",1
"17073015131754402017-09-01","R012XY004ID",1
"17073015531037872017-09-01","R012XY004ID",1
"17073015553710692017-09-01","R012XY004ID",1
"17073107534648582017-09-01","R012XY012ID",1
"17073109335288342017-09-01","R012XY004ID",1
"17073110362037562017-09-01","R012XY004ID",1
"17073111373683272017-09-01","R012XY004ID",1
"17073116483263962017-09-01","R012XY004ID",1
"17080108282540972017-09-01","R012XY012ID",1
"17080114010298382017-09-01","R012XY012ID",1
"17080114434547302017-09-01","R012XY021ID",1
"17080115171612362017-09-01","R012XY004ID",1
"17080208430689152017-09-01","R012XY007ID",0.857142857142857
"17080209123273962017-09-01","R012XY046ID",1
"17080210160967602017-09-01","R012XY004ID",1
"17080211193340582017-09-01","R012XY004ID",1
"17080212142528192017-09-01","R012XY007ID",0.428571428571429
"17080214254252042017-09-01","R012XY002ID",0.571428571428571
"17080712112793482017-09-01","R012XY004ID",1
"17080713482045592017-09-01","R012XY007ID",0.714285714285714
"17080808414729282017-09-01","R012XY046ID",1
"17080809203374922017-09-01","R012XY004ID",1
"17080815381983172017-09-01","R012XY046ID",1
"17080816374670442017-09-01","R012XY004ID",1
"1708091001521782017-09-01","R012XY007ID",0.857142857142857
"17080911181810032017-09-01","R012XY004ID",1
"17080911592027552017-09-01","R012XY021ID",1
"17080912232595172017-09-01","R012XY004ID",1
"17080912555684982017-09-01","R012XY004ID",1
"17080917002045432017-09-01","R012XY007ID",0.714285714285714
"17080917054142802017-09-01","R012XY004ID",1
"170809170711352017-09-01","R012XY004ID",1
"17080917321396772017-09-01","R012XY004ID",1
"17081009362515242017-09-01","R012XY004ID",1
"17081011151550522017-09-01","R012XY004ID",1
"17081011331051332017-09-01","R012XY004ID",1
"17081014404655972017-09-01","R012XY004ID",1
"17081015450254282017-09-01","R012XY004ID",1
"17081109270071302017-09-01","R012XY004ID",1
"17081110250481942017-09-01","R012XY004ID",1
"17081113100671472017-09-01","R012XY004ID",1
"17081114183347162017-09-01","R012XY004ID",1
"17081209514835142017-09-01","R012XY004ID",1
"17081210371551172017-09-01","R012XY012ID",1
"17081212312848312017-09-01","R012XY046ID",1
"17081215494731072017-09-01","R012XY004ID",1
"17081217362746502017-09-01","R012XY002ID",0.571428571428571
"17081308121856732017-09-01","R012XY004ID",1
"17081308190785592017-09-01","R012XY012ID",1
"17081311230160912017-09-01","R012XY004ID",1
"17081315323532482017-09-01","R012XY004ID",1
"17081410543878222017-09-01","R012XY007ID",0.714285714285714
"17081411234247702017-09-01","R012XY025ID",1
"17081412312587852017-09-01","R012XY004ID",1
"17081414284220402017-09-01","R012XY004ID",1
"17081415042563292017-09-01","R012XY004ID",1
"17081417501093942017-09-01","R012XY004ID",1
"17081510554677772017-09-01","R012XY004ID",1
"17081607441718982017-09-01","R012XY021ID",1
"17081609123427482017-09-01","R012XY004ID",1
"1708161350366382017-09-01","R012XY004ID",1
"17081614445267892017-09-01","R012XY004ID",1
"17082215380271522017-09-01","R012XY004ID",1
"17082309535722962017-09-01","R012XY004ID",1
"17082315382464932017-09-01","R012XY004ID",1
"17082316120090722017-09-01","R012XY004ID",1
"17082410294741312017-09-01","R012XY046ID",1
"17082412272333252017-09-01","R012XY004ID",1
"17082412381034562017-09-01","R012XY004ID",1
"17082412414152792017-09-01","R012XY021ID",1
"17082510412592122017-09-01","R012XY004ID",1
"17082510530856702017-09-01","R012XY007ID",0.714285714285714
"17082515561365532017-09-01","R012XY010ID",1
"17082517315540322017-09-01","R012XY004ID",1
"17082607560449892017-09-01","R012XY004ID",1
"17082610041965312017-09-01","R012XY012ID",1
"17082613480812142017-09-01","R012XY004ID",1
"1708261435516702017-09-01","R012XY004ID",1
"17082709360063102017-09-01","R012XY024ID",1
